,title,link,image,author,discount,publisher,pubdate,isbn,description
0,오렌지3 with 파이썬 (머신러닝으로 쉽게 따라 하는 데이터 과학 프로젝트),https://search.shopping.naver.com/book/catalog/48754112627,https://shopping-phinf.pstatic.net/main_4875411/48754112627.20240629092242.jpg,김현철^김종혜^박종화^임진숙,27000,생능북스,20240715,9791192932651,"9가지의 다양한 프로젝트 실습을 통해
상황에 따라 미래의 변화를 예측할 수 있는 방법 소개

이 책은 데이터 과학 및 기계학습의 다양한 적용 분야를 다루며, 특히 오렌지3와 파이썬을 활용하여 문제를 해결하는 프로젝트 활동들로 구성되어 있습니다. 각 챕터에서는 실제 데이터에 기반한 프로젝트를 통해 이론을 실제로 구현하고, 머신러닝의 개념과 응용 방법을 익힐 수 있게 구성되었습니다.

또한 각 실습은 특정 데이터 세트와 문제에 초점을 맞추지만, 배운 기법들은 다른 유사한 문제에도 적용이 가능합니다. 따라서 각 챕터를 마친 후, 배운 내용을 다른 문제에 적용해 보는 것이 좋습니다."
1,"파이썬 시계열 예측 분석 (통계 모델, 딥러닝, 파이썬 라이브러리를 활용한 대규모 시계열 데이터 분석)",https://search.shopping.naver.com/book/catalog/49076204619,https://shopping-phinf.pstatic.net/main_4907620/49076204619.20240712093712.jpg,"Peixeiro, Marco",34200,제이펍,20240715,9791193926314,"현장 실무 예제로 배우는 시계열 분석과 응용

데이터 과학에서 시간에 따른 변화 패턴을 분석하여 다양한 예측 모델을 구축하면, 미래 예측은 물론 다양한 의사결정에 도움이 된다. 이 책에서는 파이썬 코드로 완벽하게 작동하는 시계열 예측 방법을 소개한다. 시계열 데이터를 정의하고, 베이스라인 모델을 개발하고, 통계적 모델과 텐서플로 및 최신 딥러닝 도구를 사용하여 대규모 모델 구축 방법을 학습하고, 자동화된 예측 라이브러리까지 다룬다. 구글 주가 동향, 항당뇨제 처방량 예측, 가정의 전력 소비량 예측 등 다양한 실무 사례로 시계열 예측 분석을 마스터하자."
2,커리어 스킬업 파이썬 업무 자동화 (일잘러를 위한 파이썬 기초와 웹 크롤링 강의),https://search.shopping.naver.com/book/catalog/48518927623,https://shopping-phinf.pstatic.net/main_4851892/48518927623.20240618091417.jpg,손원준,23400,길벗,20240620,9791140713899,"반복되는 업무를 파이썬으로 자동화해 보세요!
똑똑하게 일하는 일잘러가 될 수 있습니다.

코딩은 이제 선택이 아니라 필수입니다. ‘전공자가 아닌데 코딩을 배워야 하나?’, ‘파이썬이 내 업무와 대체 무슨 관련이 있을까?’라고 반문하는 사람도 막상 파이썬을 배우면 업무의 많은 부분을 자동화할 수 있다는 걸 알게 됩니다. 이 책은 코딩을 아예 모르는 초보자도 배울 수 있도록 파이썬 기초부터 시작해 웹 크롤링과 업무 자동화까지 단계적으로 설명합니다. 업무 자동화의 신세계를 만나고 싶다면 이 책으로 시작하세요! 

〈주요 내용〉
1. 파이썬 설치와 기초 문법 
2. 웹 크롤링으로 원하는 데이터 수집하는 방법 
3. API를 이용한 자동화 프로그램 만들기
4. 엑셀 작업 자동화하기"
3,비전공자를 위한 이해할 수 있는 파이썬 (AI 시대에 최적화된 파이썬 공부법),https://search.shopping.naver.com/book/catalog/48509442618,https://shopping-phinf.pstatic.net/main_4850944/48509442618.20240618091504.jpg,최원영,22320,티더블유아이지,20240624,9791191590265,"""ChatGPT 시대! 파이썬 공부법도 달라져야 합니다!""

미국인에게 일을 시키려면 영어라는 언어를 사용해야 하듯이, 컴퓨터에게 일을 시키려면 C언어나 자바(JAVA)와 같은 프로그래밍 언어를 사용해야 합니다. 그리고 여러 프로그래밍 언어 중 가장 배우기가 쉽고, 활용도가 높은 언어가 바로 파이썬입니다. 
파이썬을 배우면 매일 반복되는 업무를 자동화할 수 있습니다. 10시간이 걸리는 일도 단 1분 만에 해낼 수 있죠. 수작업으로 해야 하는 일을 컴퓨터가 대신해주니 생산성이 크게 올라갈 수밖에 없습니다. 그러나 파이썬이 쉬운 언어라 해도 업무를 자동화하는 수준으로 배우는 건 결코 쉽지 않은 일입니다. 지식을 배우는 것과 그것을 활용하는 건 또 다른 문제니까요. 다행히 ChatGPT로 대변되는 생성형 AI의 등장으로 파이썬의 활용이 좀 더 쉬워졌습니다. 이제는 기초 지식만 있는 사용자도 생성형 AI의 도움을 받아 코드를 손쉽게 완성할 수 있습니다.
중요한 건, 기초 지식은 고정된 것이 아니라 시대의 변화에 따라 달라진다는 것입니다. 컴퓨터를 예로 들어보죠. 윈도우(Windows)와 같은 운영체제가 없던 시기에는 하드웨어의 작동 원리를 알아야 컴퓨터를 사용할 수 있었습니다. 그때는 그것이 기초 지식이었습니다. 하지만 지금은 파워포인트(PowerPoint)나 엑셀(Excel)과 같은 프로그램을 능숙하게 다루는 능력이 기초 지식에 가깝습니다. 파이썬도 마찬가지입니다. 생성형 AI의 등장으로 파이썬을 활용하기 위한 기초 지식이 빠르게 바뀌고 있습니다. 이는 곧 파이썬을 공부하는 방법 역시 달라져야 함을 의미합니다.
《비전공자를 위한 이해할 수 있는 파이썬》에는 생성형 AI 시대에 최적화된 파이썬 공부법이 담겨 있습니다. 생성형 AI를 잘 활용하기 위해 꼭 필요한 기초 지식뿐 아니라 생성형 AI의 도움을 받아 직접 코드를 작성해봄으로써 자연스럽게 파이썬 활용 능력이 배양되도록 내용을 구성했습니다. 이 책이 파이썬을 공부하는 모든 분들에게 많은 도움이 될 수 있기를 바랍니다."
4,Do it! 점프 투 파이썬 (중학생도 첫날부터 실습하는 초고속 입문서),https://search.shopping.naver.com/book/catalog/40354085633,https://shopping-phinf.pstatic.net/main_4035408/40354085633.20230927071024.jpg,박응용,19800,이지스퍼블리싱,20230615,9791163034735,"프로그래밍 분야 8년 연속 베스트셀러!
《Do it! 점프 투 파이썬》 전면 개정 2판 출시!

중고등학생도, 비전공자도, 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정 2판으로 새롭게 태어났다! 챗GPT를 시작으로 펼쳐진 생성 AI 시대에 맞춰 설명과 예제를 다듬고, 최신 경향과 심화 내용을 보충했다. 또한 이번 개정 2판도 50만 코딩 유튜버인 조코딩과 협업을 통해 유튜브 동영상을 제공해 파이썬을 더 쉽게 공부할 수 있다.

8년 연속 베스트셀러! 위키독스 누적 방문 300만! 독자의 입에서 입으로 전해진 추천과 수많은 대학 및 학원의 교재 채택을 통해 검증은 이미 끝났다. 코딩을 처음 배우는 중고등학생부터 코딩 소양을 기르려는 비전공자, 자기계발에 진심인 직장인까지! 이 책과 함께 파이썬 프로그래밍의 세계로 ‘점프’해 보자!"
5,혼자 공부하는 파이썬 (1:1 과외하듯 배우는 프로그래밍 자습서),https://search.shopping.naver.com/book/catalog/32507605957,https://shopping-phinf.pstatic.net/main_3250760/32507605957.20230509170119.jpg,윤인성,19800,한빛미디어,20220601,9791162245651,"혼자 해도 충분하다! 1:1 과외하듯 배우는 파이썬 프로그래밍 자습서

『혼자 공부하는 파이썬』이 더욱 흥미있고 알찬 내용으로 개정되었습니다. 프로그래밍이 정말 처음인 입문자도 따라갈 수 있는 친절한 설명과 단계별 학습은 그대로! 혼자 공부하더라도 체계적으로 계획을 세워 학습할 수 있도록 ‘혼공 계획표’를 새롭게 추가했습니다. 또한 입문자가 자주 물어보는 질문과 오류 해결 방법을 적재적소에 배치하여 예상치 못한 문제에 부딪혀도 좌절하지 않고 끝까지 완독할 수 있도록 도와줍니다. 단순한 문법 암기와 코딩 따라하기에 지쳤다면, 새로운 혼공파와 함께 ‘누적 예제’와 ‘도전 문제’로 프로그래밍의 신세계를 경험해 보세요! 배운 내용을 씹고 뜯고 맛보고 즐기다 보면 응용력은 물론 알고리즘 사고력까지 키워 코딩 실력이 쑥쑥 성장할 것입니다.

이 책은 독학으로 파이썬을 배우는 입문자가 ‘꼭 필요한 내용을 제대로 학습’할 수 있도록 구성했습니다. 뭘 모르는지조차 모르는 입문자의 막연한 마음에 십분 공감하여 과외 선생님이 알려주듯 친절하게, 핵심적인 내용만 콕콕 집어줍니다. 책의 첫 페이지를 펼쳐서 마지막 페이지를 덮을 때까지, 혼자서도 충분히 파이썬을 배울 수 있다는 자신감과 확신이 계속될 것입니다!

베타리더와 함께 입문자에게 맞는 난이도, 분량, 학습 요소 등을 적극 반영했습니다. 어려운 용어와 개념은 한 번 더 풀어쓰고, 복잡한 설명은 눈에 잘 들어오는 그림으로 풀어냈습니다. ‘혼자 공부해 본’ 여러 입문자의 초심과 눈높이가 책 곳곳에 반영된 것이 이 책의 가장 큰 장점입니다."
6,파이썬 + AI (코드조각과 실행화면으로 배우는 코딩),https://search.shopping.naver.com/book/catalog/48703888619,https://shopping-phinf.pstatic.net/main_4870388/48703888619.20240627091044.jpg,안용제^김남규,25200,디지털북스,20240715,9788960884571,"“코드조각과 실행화면을 통해, 단계적 반복을 통해 배우는 파이썬과 AI”

이 책은 프로그래밍 언어에 익숙한 프로그래머가 아닌 프로그램 입문자들을 대상으로 프로그래밍에 대해 아무런 지식이 없다고 가정하고 프로그램 코딩을 가르치기 위해 작성되었습니다. 이 책을 통해 코딩 개요, Python 기초, numpy, matplotlib, pandas 그리고 머신러닝/딥러닝 퀵스타트 등 Python의 전반을 한 권으로 학습할 수 있습니다.
또한 코드조각이라고 부르는 프로그램 코딩에 대한 예제를 설명을 위한 주축으로 사용합니다. 그래서 코드조각을 먼저 이해하려고 노력한 후 코드조각을 실행하여 얻게 되는 실행화면을 통해, 코딩의 결과를 바로바로 확인할 수 있도록 하였습니다. 코드조각을 컴퓨터에 입력하여 실행시켜 보면서 프로그램의 수행 결과를 자세히 관찰하고, 프로그램 코드를 한 줄씩 따라가면서 변수와 객체 등 컴퓨터 저장 공간의 변화를 함께 따라가 보면 어느새 파이썬과 AI 코딩을 능숙하게 활용할 수 있을 것입니다."
7,으뜸 파이썬 (개정판),https://search.shopping.naver.com/book/catalog/48359296619,https://shopping-phinf.pstatic.net/main_4835929/48359296619.20240612092113.jpg,박동규^강영민,30600,생능출판,20240614,9791192932675,"이 책의 구성
초판과 마찬가지로 이 책은 대학에서 교양 과정 수강생과 전공자들이 쉽게 프로그래밍을 접하고 흥미를 가질 수 있도록 구성하였다. 이를 위하여 파이썬 설치부터 기초적인 출력문, 연산자, 조건문, 반복문, 함수, 클래스 등에 관련된 설명과 많은 문제 풀이를 제공하고 있다. 뿐만 아니라, 다양한 모듈의 활용 방법과 넘파이 패키지 등 파이썬에 관한 깊이 있는 내용도 함께 다루고 있다. 각 장의 심화 내용은 [심화학습]이라는 별도의 표시를 하였다. 이 [심화학습]은 학생들의 흥미를 유발하는 깊이 있는 내용이며, 강사의 필요에 따라서 선택적으로 강의할 수 있다.

개정판에서 초판과 달라진 점
초판은 11개 장(chapter)로 구성되었으나 개정판은 13개 장(chapter)로 구성되어 있다.
이 책은 개인 학습서로써도 활용 가능하지만, 대학의 15주 수업 교재로서도 적절하도록 고심하였다. 중간고사와 기말고사를 제외하고 13주 수업에서 다룰 수 있도록 파이썬 학습에 필요한 내용을 정리하였다. 초판에서는 일부 장들이 담고 있는 내용의 양이 균형 잡히지 않았던 부분이 있었지만, 이를 적절히 배분하여 새롭게 장을 구성하였다.
초판과 개정판을 비교하면, 우선 초판 3장 제어문은 그 양이 한 주의 수업으로 다루기에는 방대하여 개정판에서는 조건문과 반복문으로 나누어 각각을 3장과 4장의 별도 장에담았다.
이에 따라 초판의 4장에서 11장의 내용들은 개정판의 5장에서 12장까지를 차지하게 된다. 이와 함께 개정판 8장에서는 터틀 그래픽과 tkinter와 같이 파이썬 문법과 직접적 관련이 없는 활용 부분을 덜어내고 13장으로 옮겨 따로 정리하였다.
5장에서 12장까지의 내용은 초판의 내용을 그대로 옮긴 것은 아니다. 10장의 클래스와 객체지향에서는 상속과 관련한 내용을 새롭게 다루었고, 11장의 파이썬답게 코딩하기는 초판에서 다루었던 람다함수와 리스트 축약뿐만 아니라 파이썬의 장점을 더욱 잘 활용할 수 있는 코딩 방법에 대한 이해를 돕기 위해 노력했다. 그리고 12장의 넘파이는 외부 모듈인 넘파이를 활용하는 방법을 소개하는 데에 그치지 않고 파이썬이 성공을 거두는 데에 큰 기여를 한 넘파이가 가진 장점을 이해하고 활용할 수 있도록 개정하였다.
13장에서는 외부 모듈을 활용하여 조금 더 재미있는 파이썬 코딩을 할 수 있도록 하면서 초판에서 정확히 다루어지지 않았던 싱글턴 객체의 개념에 대한 설명 등을 더했다. 이러한 설명을 통해 외부 모듈의 클래스를 활용할 때 더욱 정확하고 바르게 사용할 수 있을 것이다."
8,파이썬,https://search.shopping.naver.com/book/catalog/32438172833,https://shopping-phinf.pstatic.net/main_3243817/32438172833.20230920072917.jpg,김영천,24500,기한재,20200225,9788970187990,▶ 이 책은 Python(파이썬)을 다룬 이론서입니다. Python(파이썬)의 기초적이고 전반적인 내용을 학습할 수 있습니다.
9,CODING BASICS PYTHON (파이썬),https://search.shopping.naver.com/book/catalog/32440944646,https://shopping-phinf.pstatic.net/main_3244094/32440944646.20230509164030.jpg,김상민^장성식^김일태,18000,렉스미디어닷넷,20220210,9788959604210,"파이썬으로 다지는 프로그래밍의 기초

ㆍ 다양한 예제를 활용하여 초보자도 쉽게 프로그래밍의 기본을 익힐 수 있는 파이썬 입문서입니다.
ㆍ 문법을 사전식으로 나열하지 않고 기능적인 프로그램을 하나씩 완성하면서 익힐 수 있게 구성했습니다.
ㆍ 단계별로 완성하는 장별 예제 및 연습문제를 바탕으로 자신만의 프로그램을 완성할 수 있습니다."
