,title,originallink,link,description,pubDate
0,"열악한 재정, 저류조 사업비 마련 '비상'",http://news.lghellovision.net/news/articleView.html?idxno=475190,http://news.lghellovision.net/news/articleView.html?idxno=475190,"&quot;] 동구의 재정 자립도는 14.1% 수준, 추가 편성해야 할 금액이 커지면서 사업 추진의 어려움은 물론 최악의 경우 사업이 일시 중지되거나 지연될 우려까지 나오고 있습니다. 헬로TV<b>뉴스</b> 김한식입니다. 영상취재: 홍현동","Mon, 22 Jul 2024 17:38:00 +0900"
1,피서지 바가지요금 뿌리뽑기 총력전,http://www.00news.co.kr/news/articleView.html?idxno=87368,http://www.00news.co.kr/news/articleView.html?idxno=87368,공공<b>뉴스</b>=김소영 기자 여름 휴가철을 맞아 주요 피서지의 바가지요금 근절을 위한 일제 단속이 시작된다. 행정안전부는 피서지 바가지요금 근절을 위해 지자체·민간과 협업해 총력 대응에 나섰다고 22일 밝혔다. 행안부는... ,"Mon, 22 Jul 2024 17:38:00 +0900"
2,올림픽공원 달군 '발로란트' 겜심... 다음 행선지는 영종도 '인스파이어 아레...,https://www.xportsnews.com/article/1884936,https://m.sports.naver.com/esports/article/311/0001751847,"스테이지2 마지막에 경기력이 올라온 만큼 준비 열심히 한다면 4강 이상의 성적도 기대할만 하다&quot;고 힘주어 말했다. 사진=엑스포츠<b>뉴스</b> 임재형 기자, 라이엇 게임즈 제공","Mon, 22 Jul 2024 17:38:00 +0900"
3,[부음] 김승오씨(월남전 참전 유공자) 별세 외,https://www.mk.co.kr/article/11073903,https://n.news.naver.com/mnews/article/009/0005338744?sid=102,"(053)200-6464 ▲전주석씨(전 성우상사 대표) 별세, 전경훈 전경환 전경희 전진경씨 부친상, 정동헌(연합<b>뉴스</b> 포토데스크 편집위원) 조성래씨 장인상=21일 대구 한성병원, 발인 23일 오전 7시 30분. (053)253-3444... ","Mon, 22 Jul 2024 17:38:00 +0900"
4,"LG전자 구독, 매출 1조 넘었다…'유니콘 사업' 반열",https://www.widedaily.com/news/articleView.html?idxno=240335,https://www.widedaily.com/news/articleView.html?idxno=240335,22일 회사 <b>뉴스</b>룸에 따르면 LG전자의 지난 한 해 구독 관련 매출은 케어서비스 구독을 포함해 1조1341억원을 기록했다. 이는 LG전자가 지난 2009년 정수기 구독(당시 렌탈)을 시작하고 처음으로 구독 매출 1조원을 넘겼다는... ,"Mon, 22 Jul 2024 17:38:00 +0900"
5,'환승연애3' 이서경 &quot;치위생사 일 계속 하는 중…♥이주원 저장명은&quot; 재결합 ...,http://www.topstarnews.net/news/articleView.html?idxno=15521412,http://www.topstarnews.net/news/articleView.html?idxno=15521412,"1993년생인 이서경은 이주원과 2년 6개월 열애했으며, 방송 당시 결별한 지 5개월이 된 상태였다. 그는 '환승연애3'가 종영한 이후 인스타그램과 블로그를 통해 팬들과 소통 중이다.[톱스타<b>뉴스</b>=]","Mon, 22 Jul 2024 17:38:00 +0900"
6,"권익위, '이재명 헬기 이송 특혜 논란' 안건 심의",https://daily.hankooki.com/news/articleView.html?idxno=1108791,https://daily.hankooki.com/news/articleView.html?idxno=1108791,사진=연합<b>뉴스</b>  국민권익위원회는 22일 전원위원회를 열어 이재명 더불어민주당 전 대표의 '헬기 이송 특혜 논란' 신고 사건을 심의한다. 오후 3시에 열린 권익위 전원위회의에서 이 전 대표의 헬기 이송과 관련한 '공직자... ,"Mon, 22 Jul 2024 17:38:00 +0900"
7,'(여자) 아이들' 적십자 마크 의상 논란..적십자사 &quot;재발 방지 요청할 것&quot;,http://www.starnewsk.com/news/articleView.html?idxno=40986,http://www.starnewsk.com/news/articleView.html?idxno=40986,이에 대해 22일 대한적십자사 측은 케이스타<b>뉴스</b>에 &quot;소속사로부터 별도의 표장 사용과 관련해 문의가 들어온 것은 없다&quot;며 &quot;고의가 아닌 관련 내용을 사전에 인지하지 못한 것 같다&quot;고 말했다. 이어 &quot;소속사에 연락해 재발... ,"Mon, 22 Jul 2024 17:38:00 +0900"
8,황정음과 알콩달콩 사귀고 있는 7살 연하 농구선수는 대학시절부터 14년간 태...,https://www.huffingtonpost.kr/news/articleView.html?idxno=225706,https://www.huffingtonpost.kr/news/articleView.html?idxno=225706,"ⓒ<b>뉴스</b>1, 김종규 인스타그램 22일 오전 황정음의 열애설이 불거지고 그 상대방이 김종규로 추정된다는 보도가 잇따랐는데. 스포티비에 따르면 황정음은 이날 오후 소속사 와이원엔터테인먼트를 통해 &quot;최근 호감을... ","Mon, 22 Jul 2024 17:38:00 +0900"
9,"&quot;김건희 조사, 성역 없단 원칙 안 지켜져&quot; 검찰총장 사과 - 김명준의 <b>뉴스</b>파이...",http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5043842,https://n.news.naver.com/mnews/article/057/0001831261?sid=102,허주연 변호사 #MBN #김건희 #영부인 #대통령부인 #윤석열 #검찰총장 #비공개조사 #패싱논란 #성역 #김명준의<b>뉴스</b>파이터 #김명준앵커 *해당 내용은 관련 동영상 참고 &lt;저작권자 ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지&gt;,"Mon, 22 Jul 2024 17:37:00 +0900"
